game_date,CH,CS,CU,EP,FA,FC,FF,FS,KC,KN,SC,SI,SL
2021-08-17,1825.6186131386862,,2530.2587209302324,,2164.3846153846152,2385.916967509025,2231.8825701624814,1453.25,2440.7555555555555,,,2122.631292517007,2388.771567436209
2021-08-18,1746.7505330490405,,2421.7012345679013,,2043.25,2315.5520833333335,2227.8834586466164,1392.906976744186,2397.9024390243903,,,2091.72602739726,2358.933255269321
2021-08-19,1716.9936102236422,,2464.337398373984,,,2329.6182572614107,2240.6520146520147,1352.090909090909,2501.945205479452,,,2075.4112359550563,2379.819472616633
2021-08-20,1642.7231075697212,,2518.0227272727275,,,2278.038596491228,2267.03861517976,1106.8536585365853,2467.303370786517,,,2043.9932795698924,2384.108921161826
2021-08-21,1627.0167014613778,2450.1111111111113,2524.5244618395304,,,2354.1071428571427,2256.0689655172414,1228.2325581395348,2562.1194029850744,,,2082.035714285714,2390.0861313868613
2021-08-22,1822.1530054644809,2235.6,2484.2818991097924,,,2305.2045454545455,2237.3168482816427,1315.658536585366,2497.3571428571427,,,2122.1207792207792,2419.894806924101
2021-08-23,1839.7248908296942,,2371.4545454545455,,,2289.4,2219.102760736196,1202.21875,2260.7,,,2101.849765258216,2329.4533678756475
2021-08-24,1740.8424821002386,,2549.985111662531,,,2392.710810810811,2258.163542340013,1323.0,2422.435483870968,,,2112.9011532125205,2445.0184210526318
2021-08-25,1705.7396061269146,,2436.5399361022364,,,2289.1344537815125,2246.662783171521,1114.361111111111,2630.7118644067796,,,2085.5632183908046,2378.113567839196
2021-08-26,1634.366583541147,2176.6666666666665,2502.0,1330.3636363636363,1697.1666666666667,2391.633333333333,2250.4426751592355,1276.962962962963,2329.5694444444443,,,2093.691011235955,2365.1767015706805
2021-08-27,1643.8033707865168,2640.0833333333335,2548.9407407407407,,,2328.6181102362207,2246.140862173649,1200.888888888889,2562.206896551724,,,2099.8221153846152,2415.2630937880635
2021-08-28,1709.3453093812375,1980.0,2406.5205882352943,,1776.842105263158,2310.6990881458964,2205.214285714286,1366.75,2579.5,,,2095.9010123734533,2377.4595545134816
2021-08-29,1744.8902195608782,,2368.7741046831957,,1824.2222222222222,2310.17094017094,2249.8896899783704,1422.3333333333333,2496.5757575757575,,,2105.898079763663,2444.7773224043717
2021-08-30,1830.76,2180.0,2511.1820895522387,,,2317.339285714286,2279.87134502924,1119.4347826086957,2683.6202531645567,,,2099.451690821256,2358.1980769230768
2021-08-31,1675.3740875912408,2268.5,2516.75,,,2377.9774436090224,2243.6634114583335,851.0,2604.4295302013425,,,2122.1278863232683,2370.468702290076
2021-09-01,1790.8473804100229,,2506.570281124498,,,2392.5197740112994,2265.8132271892223,1263.0246913580247,2534.0882352941176,,,2158.792642140468,2407.4061696658096
2021-09-02,1788.0324909747292,,2591.264150943396,,,2378.0967741935483,2274.796808510638,1277.2941176470588,2449.2978723404253,,,2146.9194630872485,2422.5974576271187
2021-09-03,1734.9858870967741,2491.4,2373.9325,,,2341.493670886076,2249.108125399872,1047.9347826086957,2412.597014925373,,,2112.5673575129535,2353.3732558139536
2021-09-04,1734.8408679927668,2197.5,2561.5186915887853,,,2398.0780669144983,2244.375925925926,1454.6811594202898,2542.75,,,2095.281949934124,2379.882554161916
2021-09-05,1751.5908141962423,,2485.0349462365593,,,2385.6575,2266.3319251659627,1223.6065573770493,2574.35,,,2148.4583901773535,2413.79950799508
2021-09-06,1701.4763033175354,2271.5,2609.5849056603774,,,2380.1346153846152,2263.473359073359,1249.16,2714.0641025641025,377.4166666666667,,2119.5420944558523,2374.8995290423863
2021-09-07,1677.8617747440273,,2559.6508875739646,,,2341.791304347826,2254.746773202213,1253.275,2482.2375,,,2110.0309477756286,2379.4948096885814
2021-09-08,1850.5096153846155,2659.9444444444443,2491.858536585366,,,2398.090909090909,2282.245,1353.8505747126437,2510.245614035088,,,2144.0741324921137,2383.7509113001215
2021-09-09,1722.0739299610896,,2339.4934497816594,,,2384.492307692308,2242.59335443038,1550.3333333333333,2694.4117647058824,,,2089.3981308411217,2350.8053691275168
2021-09-10,1747.5477582846004,2207.0,2522.1594594594594,,,2402.6692913385828,2258.709122203098,1585.7272727272727,2443.188679245283,,,2115.5760869565215,2417.2819089900113
